mandante,visitante,resultado,gols_mandante,gols_visitante
Nautico,Sport,Sport,0,2
flamengo,vasco,flamengo,3,1
internacional,goias,internacional,1,0
coritiba,Portuguesa,coritiba,4,0
fluminense,atletico pr,fluminense,3,0
vitoria,botafogo,vitoria,5,2
atletico mineiro,flamengo,empate,1,1
santos,gremio,empate,1,1
Nautico,sao paulo,Nautico,2,1
palmeiras,figueirense,empate,1,1
Ipatinga,cruzeiro,empate,2,2
vasco,Sport,vasco,4,0
fluminense,vitoria,fluminense,2,1
goias,coritiba,empate,2,2
Sport,gremio,empate,2,2
botafogo,Ipatinga,botafogo,4,0
figueirense,santos,figueirense,3,0
Portuguesa,Nautico,Portuguesa,3,2
cruzeiro,atletico pr,cruzeiro,1,0
palmeiras,fluminense,palmeiras,3,1
vitoria,sao paulo,sao paulo,1,3
vasco,goias,empate,1,1
internacional,atletico mineiro,internacional,1,0
coritiba,flamengo,coritiba,1,0
palmeiras,santos,palmeiras,4,2
figueirense,gremio,gremio,1,7
Sport,atletico pr,Sport,1,0
Ipatinga,Portuguesa,Ipatinga,4,1
fluminense,figueirense,fluminense,1,0
gremio,cruzeiro,gremio,1,0
atletico pr,vasco,atletico pr,3,1
goias,palmeiras,goias,3,2
santos,Sport,santos,1,0
Nautico,internacional,empate,1,1
flamengo,vitoria,vitoria,0,1
sao paulo,botafogo,sao paulo,2,1
atletico mineiro,coritiba,atletico mineiro,3,2
coritiba,Ipatinga,coritiba,1,0
cruzeiro,goias,goias,0,1
vitoria,Nautico,vitoria,2,0
vasco,fluminense,empate,3,3
internacional,sao paulo,internacional,2,0
Portuguesa,flamengo,empate,2,2
botafogo,atletico mineiro,botafogo,4,0
Nautico,coritiba,coritiba,1,2
Ipatinga,internacional,Ipatinga,1,0
fluminense,cruzeiro,cruzeiro,1,3
santos,vasco,santos,5,2
gremio,palmeiras,empate,1,1
atletico pr,figueirense,empate,0,0
goias,Sport,Sport,1,2
atletico mineiro,vitoria,atletico mineiro,2,1
flamengo,botafogo,empate,0,0
sao paulo,Portuguesa,sao paulo,3,1
cruzeiro,Nautico,cruzeiro,4,2
vitoria,atletico pr,vitoria,2,1
Portuguesa,fluminense,Portuguesa,3,1
botafogo,goias,botafogo,2,0
palmeiras,flamengo,palmeiras,1,0
figueirense,sao paulo,empate,1,1
internacional,santos,santos,0,1
Sport,Ipatinga,Sport,3,1
vasco,atletico mineiro,vasco,6,1
coritiba,gremio,gremio,0,1
goias,Portuguesa,goias,4,0
Nautico,figueirense,figueirense,1,2
fluminense,internacional,internacional,1,2
gremio,vitoria,gremio,2,0
Ipatinga,palmeiras,palmeiras,1,2
flamengo,cruzeiro,cruzeiro,1,2
sao paulo,vasco,sao paulo,4,0
santos,coritiba,coritiba,1,3
atletico mineiro,Sport,atletico mineiro,2,1
atletico pr,botafogo,botafogo,0,3
gremio,Ipatinga,gremio,1,0
vasco,coritiba,coritiba,0,2
atletico pr,Nautico,atletico pr,2,0
Sport,Portuguesa,Sport,2,0
santos,atletico mineiro,atletico mineiro,2,3
goias,flamengo,goias,2,1
fluminense,sao paulo,fluminense,3,1
palmeiras,vitoria,palmeiras,3,0
figueirense,botafogo,botafogo,1,2
cruzeiro,internacional,cruzeiro,2,0
flamengo,atletico pr,flamengo,1,0
sao paulo,goias,sao paulo,2,1
atletico mineiro,gremio,gremio,0,4
coritiba,Sport,coritiba,3,0
vitoria,vasco,vitoria,5,0
Portuguesa,cruzeiro,Portuguesa,2,1
botafogo,palmeiras,botafogo,1,0
Ipatinga,fluminense,Ipatinga,2,1
Nautico,santos,Nautico,1,0
internacional,figueirense,empate,1,1
atletico pr,Ipatinga,atletico pr,5,0
figueirense,Portuguesa,figueirense,2,1
cruzeiro,vitoria,cruzeiro,2,1
gremio,sao paulo,gremio,1,0
santos,flamengo,empate,2,2
vasco,internacional,vasco,4,0
goias,Nautico,goias,3,0
fluminense,atletico mineiro,fluminense,1,0
Sport,botafogo,botafogo,0,1
palmeiras,coritiba,palmeiras,1,0
vitoria,Sport,empate,0,0
coritiba,figueirense,coritiba,3,0
botafogo,cruzeiro,botafogo,1,0
sao paulo,atletico pr,sao paulo,3,1
internacional,palmeiras,internacional,4,1
Nautico,fluminense,fluminense,1,3
Ipatinga,santos,empate,1,1
Portuguesa,vasco,vasco,0,1
atletico mineiro,goias,empate,1,1
flamengo,gremio,flamengo,2,1
fluminense,Sport,empate,1,1
figueirense,vitoria,vitoria,1,2
coritiba,sao paulo,empate,2,2
palmeiras,Portuguesa,palmeiras,4,2
internacional,flamengo,empate,1,1
santos,cruzeiro,santos,2,0
Ipatinga,goias,Ipatinga,1,0
vasco,botafogo,empate,1,1
atletico mineiro,atletico pr,atletico mineiro,4,0
Nautico,gremio,empate,1,1
goias,figueirense,goias,2,0
vitoria,Ipatinga,empate,0,0
botafogo,Nautico,empate,1,1
gremio,vasco,gremio,2,1
Sport,internacional,Sport,1,0
atletico pr,palmeiras,palmeiras,1,2
sao paulo,santos,empate,0,0
Portuguesa,atletico mineiro,empate,1,1
cruzeiro,coritiba,empate,1,1
flamengo,fluminense,empate,2,2
goias,atletico pr,goias,4,0
santos,vitoria,santos,2,0
figueirense,flamengo,flamengo,2,3
atletico mineiro,sao paulo,empate,1,1
palmeiras,Sport,Sport,0,3
vasco,cruzeiro,cruzeiro,1,3
internacional,Portuguesa,internacional,1,0
fluminense,gremio,empate,0,0
Nautico,Ipatinga,Nautico,2,0
coritiba,botafogo,botafogo,0,1
gremio,goias,goias,1,2
atletico pr,Portuguesa,atletico pr,2,0
Ipatinga,atletico mineiro,Ipatinga,3,2
cruzeiro,palmeiras,palmeiras,0,1
sao paulo,flamengo,sao paulo,2,0
Sport,figueirense,Sport,5,0
vasco,Nautico,Nautico,1,3
santos,fluminense,santos,2,1
vitoria,coritiba,vitoria,1,0
botafogo,internacional,internacional,1,2
goias,santos,goias,4,1
fluminense,coritiba,coritiba,2,3
atletico mineiro,Nautico,atletico mineiro,2,1
Sport,sao paulo,empate,0,0
atletico pr,gremio,empate,0,0
Portuguesa,botafogo,Portuguesa,3,1
figueirense,cruzeiro,cruzeiro,3,4
palmeiras,vasco,palmeiras,2,0
internacional,vitoria,internacional,1,0
flamengo,Ipatinga,flamengo,1,0
goias,vitoria,goias,3,0
flamengo,Sport,flamengo,2,1
atletico mineiro,figueirense,empate,0,0
coritiba,atletico pr,empate,1,1
Nautico,palmeiras,empate,0,0
sao paulo,cruzeiro,sao paulo,2,0
Ipatinga,vasco,Ipatinga,3,1
internacional,gremio,internacional,4,1
santos,Portuguesa,empate,1,1
botafogo,fluminense,empate,1,1
fluminense,goias,empate,1,1
vitoria,Portuguesa,vitoria,3,1
cruzeiro,Sport,cruzeiro,1,0
gremio,botafogo,gremio,2,1
Ipatinga,sao paulo,sao paulo,1,3
palmeiras,atletico mineiro,palmeiras,3,1
Nautico,flamengo,flamengo,0,2
santos,atletico pr,santos,4,0
coritiba,internacional,coritiba,4,2
vasco,figueirense,figueirense,2,4
gremio,santos,gremio,2,0
Sport,vasco,empate,2,2
figueirense,palmeiras,empate,0,0
botafogo,vitoria,botafogo,3,1
sao paulo,Nautico,sao paulo,1,0
cruzeiro,Ipatinga,cruzeiro,1,0
goias,internacional,empate,1,1
Portuguesa,coritiba,empate,0,0
atletico pr,fluminense,fluminense,1,3
flamengo,atletico mineiro,atletico mineiro,0,3
botafogo,santos,santos,0,1
internacional,atletico pr,internacional,2,1
figueirense,Ipatinga,empate,1,1
palmeiras,sao paulo,empate,2,2
vitoria,fluminense,empate,2,2
coritiba,goias,empate,1,1
atletico mineiro,cruzeiro,cruzeiro,0,2
Portuguesa,gremio,Portuguesa,2,0
Sport,Nautico,empate,2,2
vasco,flamengo,flamengo,0,1
goias,vasco,vasco,2,4
gremio,Sport,gremio,1,0
flamengo,coritiba,flamengo,5,0
sao paulo,vitoria,sao paulo,2,1
fluminense,palmeiras,fluminense,3,0
Ipatinga,botafogo,botafogo,0,3
santos,figueirense,santos,3,0
atletico pr,cruzeiro,atletico pr,1,0
Nautico,Portuguesa,empate,1,1
atletico mineiro,internacional,empate,2,2
Portuguesa,Ipatinga,Portuguesa,2,0
coritiba,atletico mineiro,coritiba,2,1
internacional,Nautico,empate,1,1
palmeiras,goias,palmeiras,1,0
botafogo,sao paulo,sao paulo,1,2
cruzeiro,gremio,cruzeiro,3,0
vitoria,flamengo,empate,0,0
Sport,santos,empate,1,1
vasco,atletico pr,empate,2,2
flamengo,Portuguesa,empate,2,2
Nautico,vitoria,Nautico,1,0
Ipatinga,coritiba,Ipatinga,2,0
santos,palmeiras,palmeiras,1,2
goias,cruzeiro,goias,3,0
atletico pr,Sport,atletico pr,1,0
atletico mineiro,botafogo,atletico mineiro,2,1
fluminense,vasco,vasco,0,1
gremio,figueirense,empate,1,1
sao paulo,internacional,sao paulo,3,0
figueirense,fluminense,fluminense,0,1
Portuguesa,sao paulo,sao paulo,2,3
vasco,santos,vasco,1,0
figueirense,atletico pr,atletico pr,0,2
palmeiras,gremio,gremio,0,1
cruzeiro,fluminense,cruzeiro,1,0
coritiba,Nautico,empate,0,0
Sport,goias,Sport,2,1
botafogo,flamengo,flamengo,0,1
internacional,Ipatinga,internacional,4,0
vitoria,atletico mineiro,atletico mineiro,0,1
atletico mineiro,vasco,atletico mineiro,4,1
fluminense,Portuguesa,fluminense,3,1
Ipatinga,Sport,Ipatinga,3,0
Nautico,cruzeiro,Nautico,5,2
flamengo,palmeiras,flamengo,5,2
sao paulo,figueirense,sao paulo,3,1
goias,botafogo,goias,3,1
gremio,coritiba,gremio,2,1
atletico pr,vitoria,atletico pr,2,1
santos,internacional,santos,1,0
figueirense,Nautico,figueirense,4,3
botafogo,atletico pr,empate,2,2
Portuguesa,goias,empate,0,0
coritiba,santos,coritiba,5,1
vitoria,gremio,vitoria,4,2
cruzeiro,flamengo,cruzeiro,3,2
vasco,sao paulo,sao paulo,1,2
internacional,fluminense,fluminense,0,2
Sport,atletico mineiro,Sport,3,0
palmeiras,Ipatinga,palmeiras,2,0
coritiba,vasco,vasco,0,2
botafogo,figueirense,figueirense,1,3
Portuguesa,Sport,empate,2,2
Nautico,atletico pr,Nautico,2,1
atletico mineiro,santos,empate,0,0
internacional,cruzeiro,internacional,1,0
vitoria,palmeiras,empate,0,0
flamengo,goias,empate,3,3
Ipatinga,gremio,gremio,1,4
sao paulo,fluminense,empate,1,1
santos,Nautico,empate,0,0
vasco,vitoria,vitoria,0,2
figueirense,internacional,figueirense,3,1
atletico pr,flamengo,atletico pr,5,3
Sport,coritiba,Sport,4,3
cruzeiro,Portuguesa,cruzeiro,4,1
fluminense,Ipatinga,empate,1,1
palmeiras,botafogo,botafogo,0,1
gremio,atletico mineiro,gremio,2,0
goias,sao paulo,sao paulo,0,1
Sport,barueri,empate,1,1
palmeiras,coritiba,palmeiras,2,1
Avai,atletico mineiro,empate,2,2
corinthians,internacional,internacional,0,1
fluminense,sao paulo,fluminense,1,0
atletico pr,vitoria,vitoria,0,2
cruzeiro,flamengo,cruzeiro,2,0
gremio,santos,empate,1,1
santos andre,botafogo,empate,1,1
goias,Nautico,empate,3,3
coritiba,santos andre,santos andre,2,4
atletico mineiro,gremio,atletico mineiro,2,1
flamengo,Avai,empate,0,0
santos,goias,empate,3,3
sao paulo,atletico pr,empate,2,2
barueri,fluminense,empate,0,0
internacional,palmeiras,internacional,2,0
botafogo,corinthians,empate,0,0
vitoria,Sport,vitoria,1,0
Nautico,cruzeiro,Nautico,2,0
corinthians,barueri,corinthians,2,1
cruzeiro,vitoria,cruzeiro,2,0
goias,internacional,internacional,0,1
palmeiras,sao paulo,empate,0,0
fluminense,santos,santos,1,4
atletico pr,Nautico,Nautico,2,3
gremio,botafogo,gremio,2,0
Sport,atletico mineiro,atletico mineiro,2,3
Avai,coritiba,empate,2,2
santos andre,flamengo,flamengo,1,2
botafogo,Sport,empate,2,2
coritiba,goias,goias,1,3
atletico mineiro,santos andre,empate,0,0
sao paulo,cruzeiro,sao paulo,3,0
santos,corinthians,santos,3,1
flamengo,atletico pr,flamengo,2,1
Nautico,fluminense,empate,1,1
vitoria,gremio,vitoria,1,0
barueri,palmeiras,empate,2,2
internacional,Avai,internacional,2,1
goias,corinthians,empate,0,0
fluminense,gremio,empate,0,0
coritiba,flamengo,coritiba,5,0
atletico mineiro,Nautico,atletico mineiro,3,0
barueri,Avai,barueri,3,1
palmeiras,cruzeiro,palmeiras,3,1
internacional,vitoria,empate,0,0
gremio,Nautico,gremio,3,0
santos andre,santos,empate,3,3
corinthians,coritiba,corinthians,2,0
palmeiras,vitoria,palmeiras,2,1
atletico pr,atletico mineiro,atletico mineiro,0,4
Sport,flamengo,Sport,4,2
Avai,sao paulo,empate,0,0
cruzeiro,internacional,empate,1,1
goias,barueri,empate,2,2
fluminense,botafogo,fluminense,1,0
sao paulo,santos andre,empate,1,1
Sport,atletico pr,atletico pr,0,1
botafogo,santos,botafogo,2,0
atletico pr,palmeiras,empate,2,2
vitoria,botafogo,vitoria,4,3
santos andre,Sport,santos andre,2,1
gremio,goias,empate,2,2
Avai,fluminense,Avai,3,2
Nautico,coritiba,coritiba,0,1
corinthians,sao paulo,corinthians,3,1
santos,atletico mineiro,atletico mineiro,2,3
cruzeiro,barueri,barueri,2,4
flamengo,internacional,flamengo,4,0
atletico pr,corinthians,atletico pr,1,0
barueri,atletico mineiro,barueri,4,2
sao paulo,Nautico,sao paulo,2,0
cruzeiro,Avai,cruzeiro,1,0
botafogo,goias,goias,1,4
palmeiras,santos,empate,1,1
internacional,coritiba,internacional,3,0
vitoria,santos andre,vitoria,4,1
Sport,gremio,Sport,3,1
fluminense,flamengo,empate,0,0
santos,Sport,santos,1,0
santos andre,barueri,empate,1,1
flamengo,vitoria,flamengo,2,1
coritiba,sao paulo,coritiba,2,0
goias,cruzeiro,goias,1,0
atletico mineiro,botafogo,empate,1,1
gremio,atletico pr,gremio,4,1
Avai,palmeiras,palmeiras,0,3
Nautico,internacional,internacional,0,2
corinthians,fluminense,corinthians,4,2
barueri,coritiba,barueri,3,1
Avai,botafogo,botafogo,1,2
palmeiras,Nautico,palmeiras,4,1
cruzeiro,atletico mineiro,atletico mineiro,0,3
atletico pr,internacional,atletico pr,3,2
gremio,corinthians,gremio,3,0
sao paulo,flamengo,empate,2,2
vitoria,santos,vitoria,6,2
Sport,goias,Sport,1,0
fluminense,santos andre,santos andre,0,1
goias,Avai,Avai,0,2
coritiba,gremio,coritiba,2,1
santos,barueri,empate,3,3
santos andre,atletico pr,santos andre,1,0
flamengo,palmeiras,palmeiras,1,2
internacional,fluminense,internacional,4,2
atletico mineiro,sao paulo,atletico mineiro,2,0
corinthians,Sport,corinthians,4,3
Nautico,vitoria,empate,1,1
fluminense,goias,goias,1,4
palmeiras,santos andre,palmeiras,1,0
gremio,internacional,gremio,2,1
sao paulo,santos,sao paulo,2,1
atletico pr,coritiba,empate,0,0
cruzeiro,corinthians,corinthians,1,2
vitoria,atletico mineiro,empate,0,0
barueri,Nautico,barueri,4,0
Sport,Avai,Avai,1,3
flamengo,botafogo,empate,2,2
flamengo,barueri,empate,1,1
santos andre,cruzeiro,cruzeiro,0,2
Avai,gremio,Avai,1,0
santos,atletico pr,santos,1,0
goias,palmeiras,goias,2,1
internacional,sao paulo,empate,2,2
Nautico,botafogo,empate,2,2
atletico mineiro,fluminense,atletico mineiro,2,1
coritiba,Sport,empate,1,1
corinthians,vitoria,corinthians,2,1
gremio,santos andre,gremio,3,2
atletico pr,Avai,Avai,1,3
botafogo,internacional,botafogo,3,2
santos,flamengo,flamengo,1,2
corinthians,palmeiras,palmeiras,0,3
atletico mineiro,goias,goias,0,1
Sport,Nautico,empate,3,3
fluminense,cruzeiro,empate,1,1
vitoria,coritiba,vitoria,1,0
barueri,sao paulo,sao paulo,1,2
Nautico,santos,santos,1,2
coritiba,botafogo,empate,2,2
goias,atletico pr,goias,3,0
internacional,barueri,internacional,3,2
cruzeiro,Sport,cruzeiro,1,0
santos andre,corinthians,empate,1,1
palmeiras,fluminense,palmeiras,1,0
Avai,vitoria,Avai,4,0
flamengo,atletico mineiro,flamengo,3,1
sao paulo,gremio,sao paulo,2,1
Sport,palmeiras,palmeiras,0,1
botafogo,barueri,botafogo,2,1
flamengo,Nautico,empate,1,1
corinthians,Avai,empate,0,0
vitoria,sao paulo,sao paulo,0,1
atletico pr,fluminense,atletico pr,1,0
atletico mineiro,coritiba,atletico mineiro,3,2
santos andre,goias,goias,1,2
gremio,cruzeiro,gremio,4,1
cruzeiro,atletico pr,atletico pr,0,2
Avai,santos andre,Avai,1,0
sao paulo,botafogo,sao paulo,3,1
Nautico,corinthians,Nautico,1,0
coritiba,santos,santos,0,1
goias,flamengo,goias,3,2
palmeiras,gremio,empate,1,1
fluminense,Sport,fluminense,5,1
barueri,vitoria,barueri,4,0
santos,Avai,empate,2,2
Nautico,santos andre,Nautico,2,1
botafogo,atletico pr,atletico pr,0,1
flamengo,corinthians,flamengo,1,0
vitoria,fluminense,empate,2,2
coritiba,cruzeiro,cruzeiro,1,3
sao paulo,goias,sao paulo,3,1
barueri,gremio,barueri,1,0
internacional,Sport,internacional,3,0
atletico mineiro,palmeiras,empate,1,1
Avai,Nautico,Avai,2,1
santos andre,internacional,internacional,0,2
palmeiras,botafogo,empate,1,1
fluminense,coritiba,coritiba,1,3
gremio,flamengo,gremio,4,1
corinthians,atletico mineiro,corinthians,2,0
Sport,sao paulo,sao paulo,1,2
goias,vitoria,goias,3,2
atletico pr,barueri,atletico pr,3,0
cruzeiro,santos,empate,0,0
santos,gremio,santos,1,0
vitoria,atletico pr,vitoria,2,1
botafogo,santos andre,santos andre,1,2
barueri,Sport,barueri,2,1
sao paulo,fluminense,sao paulo,1,0
coritiba,palmeiras,coritiba,1,0
internacional,corinthians,corinthians,1,2
flamengo,cruzeiro,cruzeiro,1,2
Nautico,goias,Nautico,2,0
atletico mineiro,Avai,empate,2,2
palmeiras,internacional,palmeiras,2,1
santos andre,coritiba,santos andre,1,0
Sport,vitoria,Sport,2,0
corinthians,botafogo,empate,3,3
atletico pr,sao paulo,atletico pr,1,0
gremio,atletico mineiro,gremio,4,1
fluminense,barueri,empate,0,0
goias,santos,goias,2,1
cruzeiro,Nautico,cruzeiro,4,2
Avai,flamengo,Avai,3,0
santos,internacional,empate,3,3
barueri,corinthians,empate,2,2
botafogo,cruzeiro,empate,1,1
coritiba,Avai,coritiba,2,0
flamengo,santos andre,flamengo,3,0
Nautico,atletico pr,Nautico,3,0
sao paulo,palmeiras,empate,0,0
santos,fluminense,santos,2,0
atletico mineiro,Sport,empate,1,1
vitoria,cruzeiro,empate,3,3
internacional,goias,internacional,4,0
botafogo,gremio,empate,3,3
internacional,atletico mineiro,internacional,3,0
corinthians,santos,corinthians,2,1
palmeiras,barueri,palmeiras,2,1
gremio,vitoria,empate,1,1
Sport,botafogo,Sport,2,1
atletico pr,flamengo,empate,0,0
cruzeiro,sao paulo,sao paulo,1,2
goias,coritiba,empate,2,2
Avai,internacional,internacional,0,2
fluminense,Nautico,empate,1,1
santos andre,atletico mineiro,atletico mineiro,1,2
sao paulo,Avai,sao paulo,2,0
flamengo,Sport,flamengo,3,0
santos,santos andre,santos,1,0
atletico mineiro,atletico pr,atletico mineiro,2,1
vitoria,palmeiras,vitoria,3,2
internacional,cruzeiro,cruzeiro,2,3
botafogo,fluminense,empate,0,0
Nautico,gremio,gremio,0,2
barueri,goias,barueri,3,1
coritiba,corinthians,empate,1,1
atletico pr,Sport,atletico pr,1,0
vitoria,internacional,vitoria,2,0
Nautico,atletico mineiro,empate,0,0
gremio,fluminense,gremio,5,1
santos andre,sao paulo,empate,1,1
Avai,barueri,Avai,4,0
flamengo,coritiba,flamengo,3,0
santos,botafogo,empate,0,0
corinthians,goias,goias,1,4
cruzeiro,palmeiras,palmeiras,1,2
palmeiras,atletico pr,palmeiras,2,1
barueri,cruzeiro,cruzeiro,0,1
internacional,flamengo,empate,0,0
sao paulo,corinthians,empate,1,1
coritiba,Nautico,coritiba,2,0
goias,gremio,goias,2,1
fluminense,Avai,fluminense,3,2
atletico mineiro,santos,atletico mineiro,3,1
botafogo,vitoria,vitoria,1,3
Sport,santos andre,Sport,2,1
Nautico,sao paulo,sao paulo,1,2
santos andre,vitoria,santos andre,1,0
corinthians,atletico pr,atletico pr,1,3
atletico mineiro,barueri,atletico mineiro,2,1
santos,palmeiras,palmeiras,1,3
gremio,Sport,empate,3,3
goias,botafogo,botafogo,1,3
flamengo,fluminense,flamengo,2,0
Avai,cruzeiro,empate,2,2
coritiba,internacional,coritiba,2,0
Sport,santos,santos,0,1
barueri,santos andre,empate,0,0
atletico pr,gremio,empate,0,0
sao paulo,coritiba,empate,2,2
vitoria,flamengo,empate,3,3
fluminense,corinthians,empate,1,1
internacional,Nautico,internacional,3,1
cruzeiro,goias,cruzeiro,3,0
palmeiras,Avai,empate,2,2
botafogo,atletico mineiro,botafogo,3,1
corinthians,gremio,corinthians,2,1
flamengo,sao paulo,flamengo,2,1
santos andre,fluminense,fluminense,1,2
internacional,atletico pr,empate,1,1
coritiba,barueri,barueri,1,2
santos,vitoria,empate,0,0
atletico mineiro,cruzeiro,cruzeiro,0,1
goias,Sport,empate,1,1
Nautico,palmeiras,Nautico,3,0
botafogo,Avai,empate,2,2
barueri,santos,empate,0,0
sao paulo,atletico mineiro,atletico mineiro,0,1
Avai,goias,Avai,2,1
Sport,corinthians,Sport,2,0
gremio,coritiba,gremio,2,0
fluminense,internacional,empate,2,2
palmeiras,flamengo,flamengo,0,2
atletico pr,santos andre,atletico pr,3,0
cruzeiro,botafogo,cruzeiro,1,0
vitoria,Nautico,vitoria,3,1
santos andre,palmeiras,santos andre,2,0
atletico mineiro,vitoria,atletico mineiro,1,0
Nautico,barueri,Nautico,2,1
santos,sao paulo,sao paulo,3,4
internacional,gremio,internacional,1,0
coritiba,atletico pr,coritiba,3,2
goias,fluminense,empate,2,2
corinthians,cruzeiro,cruzeiro,0,1
Avai,Sport,empate,2,2
botafogo,flamengo,flamengo,0,1
atletico pr,santos,empate,1,1
botafogo,Nautico,botafogo,1,0
cruzeiro,santos andre,cruzeiro,3,2
gremio,Avai,gremio,3,1
vitoria,corinthians,corinthians,0,1
barueri,flamengo,barueri,2,0
sao paulo,internacional,sao paulo,1,0
Sport,coritiba,empate,1,1
fluminense,atletico mineiro,fluminense,2,1
palmeiras,goias,palmeiras,4,0
flamengo,santos,flamengo,1,0
Avai,atletico pr,Avai,2,0
sao paulo,barueri,sao paulo,1,0
palmeiras,corinthians,empate,2,2
internacional,botafogo,botafogo,0,1
coritiba,vitoria,coritiba,1,0
goias,atletico mineiro,atletico mineiro,2,3
cruzeiro,fluminense,fluminense,2,3
santos andre,gremio,santos andre,2,0
Nautico,Sport,Nautico,3,2
gremio,sao paulo,empate,1,1
vitoria,Avai,Avai,0,1
Sport,cruzeiro,cruzeiro,2,3
santos,Nautico,santos,3,1
fluminense,palmeiras,fluminense,1,0
atletico mineiro,flamengo,flamengo,1,3
corinthians,santos andre,corinthians,2,0
barueri,internacional,empate,1,1
botafogo,coritiba,botafogo,2,0
atletico pr,goias,atletico pr,2,0
palmeiras,Sport,empate,2,2
cruzeiro,gremio,empate,1,1
sao paulo,vitoria,sao paulo,2,0
coritiba,atletico mineiro,coritiba,2,1
Nautico,flamengo,flamengo,0,2
Avai,corinthians,Avai,3,1
barueri,botafogo,barueri,3,0
fluminense,atletico pr,fluminense,2,1
goias,santos andre,goias,3,1
internacional,santos,internacional,3,1
gremio,palmeiras,gremio,2,0
corinthians,Nautico,Nautico,2,3
atletico pr,cruzeiro,empate,1,1
botafogo,sao paulo,botafogo,3,2
Sport,fluminense,fluminense,0,3
santos andre,Avai,santos andre,4,2
santos,coritiba,santos,4,0
vitoria,barueri,vitoria,2,1
atletico mineiro,internacional,internacional,0,1
flamengo,goias,empate,0,0
goias,sao paulo,goias,4,2
corinthians,flamengo,flamengo,0,2
palmeiras,atletico mineiro,palmeiras,3,1
Sport,internacional,internacional,1,2
gremio,barueri,gremio,4,2
Avai,santos,empate,2,2
cruzeiro,coritiba,cruzeiro,4,1
santos andre,Nautico,santos andre,5,3
atletico pr,botafogo,atletico pr,2,0
fluminense,vitoria,fluminense,4,0
atletico mineiro,corinthians,corinthians,0,3
Nautico,Avai,Avai,0,1
flamengo,gremio,flamengo,2,1
botafogo,palmeiras,botafogo,2,1
sao paulo,Sport,sao paulo,4,0
internacional,santos andre,internacional,4,1
santos,cruzeiro,cruzeiro,1,2
barueri,atletico pr,empate,0,0
vitoria,goias,empate,2,2
coritiba,fluminense,empate,1,1
botafogo,santos,empate,3,3
atletico goianense,gremio,empate,0,0
palmeiras,vitoria,palmeiras,1,0
flamengo,sao paulo,empate,1,1
atletico mineiro,vasco,atletico mineiro,2,1
internacional,cruzeiro,cruzeiro,1,2
corinthians,atletico pr,corinthians,2,1
ceara,fluminense,ceara,1,0
guarani,goias,guarani,1,0
Avai,gremio prudente,Avai,6,1
fluminense,atletico goianense,fluminense,1,0
gremio prudente,atletico mineiro,gremio prudente,4,0
vitoria,flamengo,empate,1,1
santos,ceara,empate,1,1
sao paulo,botafogo,botafogo,1,2
goias,internacional,internacional,2,3
gremio,corinthians,corinthians,1,2
vasco,palmeiras,empate,0,0
cruzeiro,Avai,empate,2,2
atletico pr,guarani,empate,2,2
botafogo,goias,botafogo,3,0
atletico goianense,santos,santos,1,2
palmeiras,gremio,palmeiras,4,2
atletico mineiro,atletico pr,atletico mineiro,3,1
internacional,sao paulo,sao paulo,0,2
corinthians,fluminense,corinthians,1,0
ceara,vitoria,ceara,1,0
flamengo,gremio prudente,flamengo,3,1
guarani,cruzeiro,empate,2,2
Avai,vasco,Avai,2,0
guarani,sao paulo,empate,0,0
atletico mineiro,fluminense,fluminense,1,3
internacional,atletico pr,internacional,4,1
corinthians,santos,corinthians,4,2
ceara,cruzeiro,ceara,1,0
botafogo,vasco,empate,1,1
atletico goianense,goias,goias,1,3
vitoria,atletico mineiro,vitoria,4,3
fluminense,flamengo,fluminense,2,1
gremio,Avai,gremio,3,0
sao paulo,palmeiras,sao paulo,1,0
gremio prudente,corinthians,empate,2,2
santos,guarani,santos,3,1
cruzeiro,botafogo,cruzeiro,1,0
goias,ceara,empate,0,0
vasco,internacional,vasco,3,2
atletico pr,atletico goianense,atletico pr,2,1
Avai,vitoria,empate,0,0
flamengo,gremio,empate,1,1
palmeiras,gremio prudente,empate,0,0
atletico pr,botafogo,atletico pr,3,2
fluminense,vitoria,fluminense,2,1
gremio prudente,atletico goianense,gremio prudente,1,0
ceara,Avai,ceara,2,0
cruzeiro,santos,empate,0,0
palmeiras,flamengo,flamengo,0,1
goias,sao paulo,goias,2,1
gremio,atletico mineiro,gremio,2,1
vasco,guarani,guarani,0,1
corinthians,internacional,corinthians,2,0
Avai,fluminense,fluminense,0,3
flamengo,goias,goias,1,2
vitoria,atletico pr,vitoria,1,0
sao paulo,gremio,sao paulo,3,1
santos,vasco,santos,4,0
atletico mineiro,ceara,ceara,0,1
botafogo,corinthians,empate,2,2
guarani,gremio prudente,guarani,1,0
internacional,palmeiras,empate,1,1
atletico goianense,cruzeiro,atletico goianense,2,1
gremio,vitoria,empate,1,1
atletico pr,cruzeiro,cruzeiro,0,2
sao paulo,Avai,Avai,1,2
flamengo,botafogo,flamengo,1,0
ceara,corinthians,empate,0,0
goias,vasco,empate,0,0
guarani,internacional,internacional,0,3
palmeiras,santos,palmeiras,2,1
atletico mineiro,atletico goianense,atletico mineiro,3,2
fluminense,gremio prudente,empate,1,1
vasco,atletico pr,vasco,3,1
vitoria,sao paulo,vitoria,3,2
internacional,ceara,internacional,2,1
atletico goianense,flamengo,flamengo,0,1
